,rank,id,form-id,name,form,alias,move,move-rate,ability,ability-rate,item,item-rate,terastal,terastal-rate
0980-000,16,980,0,ドオー,,ドオー,"['じこさいせい', 'じしん', 'ステルスロック', 'どくどく', 'あくび', 'のろい', 'まもる', 'ドわすれ', 'どくづき', 'アクアブレイク']","[91.9, 88.7, 61.4, 59.4, 42.9, 13.0, 6.7, 6.6, 5.6, 3.8]","['ちょすい', 'てんねん', 'どくのトゲ']","[63.8, 35.9, 0.4]","['くろいヘドロ', 'たべのこし', 'オボンのみ', 'おんみつマント', 'ゴツゴツメット', 'こだわりハチマキ', 'メンタルハーブ', 'ふうせん', 'ぼうじんゴーグル', 'とつげきチョッキ']","[78.1, 12.2, 3.0, 2.4, 1.1, 0.7, 0.6, 0.3, 0.2, 0.1]","['どく', 'じめん', 'ゴースト', 'ひこう', 'みず', 'ノーマル', 'くさ', 'あく', 'フェアリー', 'はがね']","[20.9, 18.2, 13.3, 9.2, 7.1, 5.3, 4.8, 4.7, 4.4, 3.7]"
0977-000,17,977,0,ヘイラッシャ,,ヘイラッシャ,"['じわれ', 'あくび', 'ねむる', 'ウェーブタックル', 'アクアブレイク', 'ねごと', 'ゆきなだれ', 'まもる', 'じしん', 'のろい']","[67.0, 47.0, 45.0, 41.7, 37.5, 33.1, 31.7, 25.2, 15.8, 14.5]","['てんねん', 'みずのベール', 'どんかん']","[98.0, 1.2, 0.8]","['たべのこし', 'ゴツゴツメット', 'とつげきチョッキ', 'カゴのみ', 'おんみつマント', 'オボンのみ', 'こだわりハチマキ', 'ラムのみ', 'フィラのみ', 'フォーカスレンズ']","[50.1, 20.4, 10.2, 7.8, 3.9, 2.9, 2.1, 0.8, 0.2, 0.1]","['くさ', 'みず', 'フェアリー', 'ドラゴン', 'ひこう', 'じめん', 'ほのお', 'はがね', 'ノーマル', 'でんき']","[38.1, 13.3, 12.3, 8.2, 6.8, 4.7, 3.7, 2.9, 2.6, 1.7]"
0979-000,18,979,0,コノヨザル,,コノヨザル,"['ふんどのこぶし', 'ドレインパンチ', 'ビルドアップ', 'ちょうはつ', 'インファイト', 'いのちがけ', 'とんぼがえり', 'ステルスロック', 'アンコール', 'シャドークロー']","[94.2, 82.3, 76.6, 64.5, 14.7, 14.3, 10.5, 6.0, 5.9, 4.4]","['やるき', 'まけんき', 'せいしんりょく']","[79.1, 18.4, 2.5]","['たべのこし', 'オボンのみ', 'こだわりスカーフ', 'パンチグローブ', 'とつげきチョッキ', 'おんみつマント', 'ラムのみ', 'ゴツゴツメット', 'きあいのタスキ', 'でんきだま']","[51.8, 14.5, 10.4, 7.6, 3.9, 1.9, 1.3, 1.1, 1.1, 0.7]","['ノーマル', 'どく', 'ほのお', 'はがね', 'ひこう', 'かくとう', 'フェアリー', 'みず', 'ゴースト', 'あく']","[22.3, 17.7, 15.2, 12.6, 11.0, 10.2, 3.0, 2.4, 1.6, 1.2]"
0462-000,19,462,0,ジバコイル,,ジバコイル,"['ラスターカノン', 'ボルトチェンジ', '１０まんボルト', 'テラバースト', 'ほうでん', 'ボディプレス', 'てっていこうせん', 'ミラーコート', 'トライアタック', 'てっぺき']","[95.0, 89.1, 82.3, 74.3, 12.9, 9.4, 7.7, 5.6, 4.7, 4.7]","['アナライズ', 'がんじょう', 'じりょく']","[79.2, 16.1, 4.7]","['とつげきチョッキ', 'こだわりメガネ', 'ふうせん', 'たべのこし', 'オボンのみ', 'ゴツゴツメット', 'おんみつマント', 'じゃくてんほけん', 'こだわりスカーフ', 'いのちのたま']","[43.6, 38.8, 4.7, 3.9, 1.1, 1.0, 0.9, 0.8, 0.7, 0.5]","['ひこう', 'みず', 'くさ', 'フェアリー', 'じめん', 'でんき', 'かくとう', 'こおり', 'ほのお', 'はがね']","[33.9, 30.7, 7.3, 5.8, 4.4, 4.1, 2.4, 2.3, 2.2, 2.2]"
0861-000,20,861,0,オーロンゲ,,オーロンゲ,"['ソウルクラッシュ', 'リフレクター', 'すてゼリフ', 'ひかりのかべ', 'ちょうはつ', 'ふいうち', 'トリック', 'でんじは', 'イカサマ', 'じゃれつく']","[80.1, 66.0, 63.6, 63.5, 36.8, 27.5, 20.5, 8.6, 6.9, 5.2]","['いたずらごころ', 'おみとおし', 'わるいてぐせ']","[98.5, 1.1, 0.4]","['ひかりのねんど', 'こだわりハチマキ', 'こうこうのしっぽ', 'いのちのたま', 'きあいのタスキ', 'オボンのみ', 'たべのこし', 'ゴツゴツメット', 'リリバのみ', 'だっしゅつボタン']","[67.9, 11.5, 5.4, 3.7, 2.2, 1.7, 1.3, 0.9, 0.6, 0.5]","['あく', 'フェアリー', 'ほのお', 'はがね', 'かくとう', 'どく', 'くさ', 'みず', 'ゴースト', 'ノーマル']","[27.0, 26.7, 25.5, 9.3, 3.2, 1.3, 1.1, 1.0, 1.0, 0.9]"
0970-000,21,970,0,キラフロル,,キラフロル,"['ヘドロウェーブ', 'パワージェム', 'ステルスロック', 'だいちのちから', 'エナジーボール', 'マジカルシャイン', 'ニードルガード', 'おきみやげ', 'ヘドロばくだん', 'テラバースト']","[67.8, 63.4, 62.7, 57.0, 35.6, 28.1, 12.4, 11.7, 9.8, 9.8]","['どくげしょう', 'ふしょく']","[96.1, 3.9]","['きあいのタスキ', 'とつげきチョッキ', 'こだわりスカーフ', 'ふうせん', 'レッドカード', 'こだわりメガネ', 'オボンのみ', 'くろいヘドロ', 'ゴツゴツメット', 'いのちのたま']","[54.1, 12.7, 5.8, 4.4, 4.2, 4.0, 2.7, 2.5, 1.9, 1.4]","['くさ', 'ほのお', 'どく', 'ひこう', 'フェアリー', 'いわ', 'じめん', 'こおり', 'みず', 'はがね']","[39.7, 20.7, 8.9, 8.0, 7.2, 4.3, 3.2, 1.9, 1.6, 0.8]"
0212-000,22,212,0,ハッサム,,ハッサム,"['バレットパンチ', 'とんぼがえり', 'インファイト', 'どろぼう', 'つるぎのまい', 'テラバースト', 'かわらわり', 'くさわけ', 'つばめがえし', 'でんこうせっか']","[99.8, 81.9, 70.9, 55.1, 35.3, 9.4, 7.6, 6.3, 6.0, 4.9]","['テクニシャン', 'ライトメタル', 'むしのしらせ']","[98.8, 0.6, 0.5]","['こだわりハチマキ', 'いのちのたま', 'ラムのみ', 'オボンのみ', 'とつげきチョッキ', 'ゴツゴツメット', 'きあいのタスキ', 'メタルコート', 'パンチグローブ', 'ぼうじんゴーグル']","[59.2, 13.8, 6.2, 4.3, 2.8, 2.0, 1.8, 1.7, 1.4, 1.3]","['はがね', 'みず', 'ほのお', 'ひこう', 'ノーマル', 'ドラゴン', 'あく', 'かくとう', 'いわ', 'フェアリー']","[74.4, 7.3, 3.9, 2.7, 2.5, 1.8, 1.8, 1.2, 1.1, 0.7]"
0700-000,23,700,0,ニンフィア,,ニンフィア,"['ハイパーボイス', 'テラバースト', 'でんこうせっか', 'シャドーボール', 'あくび', 'めいそう', 'サイコショック', 'みがわり', 'まもる', 'サイコキネシス']","[87.6, 80.6, 52.5, 41.8, 27.4, 23.5, 22.8, 14.2, 9.2, 7.8]","['フェアリースキン', 'メロメロボディ']","[99.0, 1.0]","['とつげきチョッキ', 'たべのこし', 'こだわりメガネ', 'オボンのみ', 'のどスプレー', 'いのちのたま', 'ラムのみ', 'おんみつマント', 'ぼうじんゴーグル', 'ゴツゴツメット']","[37.1, 25.8, 10.2, 9.2, 7.4, 1.6, 1.5, 0.7, 0.6, 0.6]","['ほのお', 'みず', 'フェアリー', 'じめん', 'ノーマル', 'はがね', 'かくとう', 'でんき', 'くさ', 'ゴースト']","[76.5, 8.3, 4.5, 4.3, 1.7, 1.5, 1.2, 0.4, 0.3, 0.3]"
0286-000,24,286,0,キノガッサ,,キノガッサ,"['マッハパンチ', 'タネマシンガン', 'キノコのほうし', 'じならし', 'がんせきふうじ', 'つるぎのまい', 'テラバースト', 'みがわり', 'つばめがえし', 'やどりぎのタネ']","[93.2, 90.5, 86.8, 59.4, 24.6, 7.3, 6.4, 5.7, 5.1, 3.9]","['テクニシャン', 'ポイズンヒール', 'ほうし']","[93.6, 6.0, 0.5]","['きあいのタスキ', 'どくどくだま', 'いかさまダイス', 'いのちのたま', 'こだわりハチマキ', 'たつじんのおび', 'こだわりスカーフ', 'パンチグローブ', 'ちからのハチマキ', 'せんせいのツメ']","[83.0, 5.6, 5.5, 1.4, 1.4, 0.6, 0.4, 0.3, 0.3, 0.2]","['くさ', 'ほのお', 'かくとう', 'いわ', 'じめん', 'はがね', 'フェアリー', 'ひこう', 'みず', 'ゴースト']","[24.6, 18.9, 17.0, 14.2, 7.0, 3.5, 3.0, 2.1, 2.0, 1.9]"
0450-000,25,450,0,カバルドン,,カバルドン,"['ステルスロック', 'じしん', 'あくび', 'ほえる', 'ふきとばし', 'なまける', 'がんせきふうじ', 'こおりのキバ', 'じわれ', 'かみくだく']","[95.3, 94.7, 94.1, 45.1, 35.5, 11.7, 6.4, 4.9, 3.4, 1.6]","['すなおこし', 'すなのちから']","[97.6, 2.4]","['オボンのみ', 'ゴツゴツメット', 'たべのこし', 'さらさらいわ', 'メンタルハーブ', 'フィラのみ', 'ラムのみ', 'こだわりハチマキ', 'とつげきチョッキ', 'たつじんのおび']","[71.5, 7.4, 6.8, 4.2, 3.2, 2.4, 0.6, 0.6, 0.5, 0.3]","['くさ', 'じめん', 'はがね', 'フェアリー', 'みず', 'ドラゴン', 'ノーマル', 'こおり', 'ひこう', 'ほのお']","[37.2, 13.9, 9.7, 7.7, 6.0, 5.2, 3.0, 2.7, 2.7, 2.6]"
0591-000,26,591,0,モロバレル,,モロバレル,"['キノコのほうし', 'イカサマ', 'クリアスモッグ', 'ギガドレイン', 'こうごうせい', 'ヘドロばくだん', 'じだんだ', 'どくどく', 'リーフストーム', 'たたりめ']","[93.9, 82.8, 70.8, 47.0, 38.5, 17.9, 13.4, 12.6, 10.1, 2.8]","['さいせいりょく', 'ほうし']","[98.5, 1.5]","['くろいヘドロ', 'オボンのみ', 'だっしゅつパック', 'ゴツゴツメット', 'たべのこし', 'いのちのたま', 'とつげきチョッキ', 'おんみつマント', 'こだわりメガネ', 'きあいのタスキ']","[63.1, 9.0, 8.2, 6.7, 6.5, 1.8, 1.4, 0.5, 0.5, 0.4]","['どく', 'みず', 'はがね', 'ほのお', 'フェアリー', 'あく', 'くさ', 'ノーマル', 'ひこう', 'いわ']","[28.2, 12.3, 9.8, 9.8, 8.4, 6.4, 4.1, 3.8, 3.3, 3.1]"
0373-000,27,373,0,ボーマンダ,,ボーマンダ,"['ダブルウイング', 'りゅうのまい', 'じしん', 'りゅうせいぐん', 'げきりん', 'テラバースト', 'だいもんじ', 'かえんほうしゃ', 'ハイドロポンプ', 'アイアンヘッド']","[65.5, 51.2, 48.7, 38.4, 34.3, 25.7, 23.4, 16.1, 16.0, 14.4]","['いかく', 'じしんかじょう']","[83.4, 16.6]","['いのちのたま', 'ラムのみ', 'こだわりメガネ', 'こだわりスカーフ', 'とつげきチョッキ', 'こだわりハチマキ', 'ゴツゴツメット', 'ぼうじんゴーグル', 'だっしゅつパック', 'たつじんのおび']","[34.5, 28.3, 15.7, 6.3, 1.4, 1.2, 1.1, 0.9, 0.9, 0.9]","['はがね', 'ほのお', 'ひこう', 'フェアリー', 'ドラゴン', 'でんき', 'みず', 'じめん', 'ノーマル', 'どく']","[43.3, 15.8, 9.5, 7.8, 6.5, 6.3, 5.3, 2.1, 0.8, 0.7]"
0937-000,28,937,0,ソウブレイズ,,ソウブレイズ,"['むねんのつるぎ', 'かげうち', 'つるぎのまい', 'インファイト', 'シャドークロー', 'みちづれ', 'テラバースト', 'ビルドアップ', 'おにび', 'ニトロチャージ']","[95.1, 89.2, 65.7, 57.2, 22.7, 19.7, 14.3, 7.2, 4.5, 3.0]","['くだけるよろい', 'もらいび']","[70.6, 29.4]","['きあいのタスキ', 'オボンのみ', 'たべのこし', 'いのちのたま', 'とつげきチョッキ', 'じゃくてんほけん', 'ラムのみ', 'ぼうじんゴーグル', 'ふうせん', 'もくたん']","[66.8, 5.0, 4.9, 4.5, 4.0, 3.0, 2.7, 0.8, 0.8, 0.6]","['くさ', 'ほのお', 'ノーマル', 'フェアリー', 'かくとう', 'はがね', 'ゴースト', 'こおり', 'あく', 'みず']","[29.7, 23.0, 15.0, 9.3, 8.6, 4.6, 1.9, 1.5, 1.4, 1.3]"
0964-000,29,964,0,イルカマン,ナイーブフォルム,イルカマン(ナイーブ),"['ジェットパンチ', 'ウェーブタックル', 'クイックターン', 'れいとうパンチ', 'インファイト', 'ドレインパンチ', 'ビルドアップ', 'ちょうはつ', 'テラバースト', 'アクロバット']","[90.8, 84.0, 82.3, 65.2, 36.4, 9.4, 5.0, 4.8, 4.3, 3.8]",['マイティチェンジ'],[100.0],"['こだわりハチマキ', 'こだわりスカーフ', 'だっしゅつパック', 'いのちのたま', 'しんぴのしずく', 'パンチグローブ', 'たべのこし', 'とつげきチョッキ', 'オボンのみ', 'ラムのみ']","[63.8, 13.4, 5.5, 3.6, 2.4, 2.2, 2.0, 1.8, 1.1, 1.0]","['みず', 'かくとう', 'くさ', 'フェアリー', 'ほのお', 'ドラゴン', 'でんき', 'こおり', 'はがね', 'ひこう']","[91.4, 1.5, 1.4, 1.3, 0.7, 0.7, 0.6, 0.6, 0.5, 0.4]"
